,Carbon Dioxide Emissions per capita,,,,,,,,,,,,,,,,,,,,,,Carbon dioxide per capita emission (growth 1970-2008),,,,,,,,,,,,,,,,,,,,,,Change in forest area,,,,,,,,,,,,,,,,,,,,,,Ecological footprint of consumption,,,,,,,,,,,,,,,,,,,,,,Endangered species,,,,,,,,,,,,,,,,,,,,,,Environmental performance index (EPI),,,,,,,,,,,,,,,,,,,,,,Forest area,,,,,,,,,,,,,,,,,,,,,,Forest area (% of total land area),,,,,,,,,,,,,,,,,,,,,,Fresh water withdrawals,,,,,,,,,,,,,,,,,,,,,,Greenhouse gases per capita,,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: number of deaths (average per year/million),,,,,,,,,,,,,,,,,,,,,,Impact of natural disasters: population affected (average per year/million),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Africa,..,,..,,31.2,,29.8,,31.3,,31.5,,8.9,,8.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,0.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,50.8,,..,,..,,..,,"9,241",,"9,241",,"9,241",,"9,241",,"9,241",,"9,241",,..,,..,,..,,..,,..,,7.6,,7.6,,7.6,,7.6,,7.6,,7.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,..,,..,,23.9,,27.0,,30.1,,29.4,,8.0,,7.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.6,,2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.0,,..,,..,,..,,..,,..,,..,,..,,..,,5.6,,5.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16,,..,,..,,..,,..,,..,,..,,..,,..,,..,,70.6,,..,,..,,..,,"15,403",,"16,988",,"17,293",,"17,469",,"17,645",,"17,821",,..,,..,,..,,..,,..,,30.8,,34.0,,34.6,,35.0,,35.4,,35.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,29.2,,..,,..,,..,,29.0,,..,,..,,0.0,,0.0,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,33,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sri Lanka,..,,..,,1.2,,2.0,,2.2,,2.3,,0.6,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-19.6,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,19,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.7,,..,,..,,..,,"2,216",,"2,082",,"1,933",,"1,918",,"1,904",,"1,889",,..,,..,,..,,..,,..,,35.3,,33.2,,30.8,,30.6,,30.4,,30.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,24.5,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sudan*,..,,..,,0.6,,0.6,,1.1,,1.1,,0.3,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.5,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-8.3,,..,,..,,..,,..,,..,,..,,..,,..,,2.2,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.1,,..,,..,,..,,"73,436",,"70,491",,"70,220",,"70,166",,"70,112",,"70,057",,..,,..,,..,,..,,..,,30.9,,29.7,,29.6,,29.5,,29.5,,29.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suriname,..,,..,,19.2,,17.9,,19.3,,19.6,,4.8,,4.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.3,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,68.2,,..,,..,,..,,"14,776",,"14,776",,"14,776",,"14,772",,"14,769",,"14,765",,..,,..,,..,,..,,..,,94.7,,94.7,,94.7,,94.7,,94.7,,94.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swaziland,..,,..,,1.7,,4.1,,3.3,,3.3,,0.9,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.1,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,17.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.4,,..,,..,,..,,495,,518,,541,,545,,550,,554,,..,,..,,..,,..,,..,,28.8,,30.1,,31.5,,31.7,,32.0,,32.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweden,..,,..,,22.2,,20.5,,20.9,,20.6,,5.4,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.4,,-2.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,86.0,,..,,..,,..,,"27,335",,"27,389",,"28,203",,"28,203",,"28,203",,"28,203",,..,,..,,..,,..,,..,,66.6,,66.7,,68.7,,68.7,,68.7,,68.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,..,,..,,20.2,,19.7,,20.4,,20.6,,5.0,,5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.6,,-0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.9,,..,,..,,..,,..,,..,,..,,..,,..,,5.6,,5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,89.1,,..,,..,,..,,"1,173",,"1,194",,"1,217",,"1,222",,"1,226",,"1,231",,..,,..,,..,,..,,..,,29.3,,29.9,,30.4,,30.5,,30.7,,30.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syrian Arab Republic,..,,..,,12.9,,14.1,,12.9,,12.9,,3.6,,3.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.5,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.8,,..,,..,,..,,..,,..,,..,,..,,..,,1.6,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13,,..,,..,,..,,..,,..,,..,,..,,..,,..,,64.6,,..,,..,,..,,402,,432,,461,,467,,473,,479,,..,,..,,..,,..,,..,,2.2,,2.4,,2.5,,2.5,,2.6,,2.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,99.8,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tajikistan,..,,..,,3.4,,2.5,,3.2,,3.5,,1.1,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.9,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.3,,..,,..,,..,,409,,410,,410,,410,,410,,410,,..,,..,,..,,..,,..,,2.9,,2.9,,2.9,,2.9,,2.9,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanzania (United Republic of),..,,..,,0.4,,0.3,,0.5,,0.5,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-17.5,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,1.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,47.9,,..,,..,,..,,"39,479",,"37,462",,"35,445",,"35,042",,"34,638",,"34,235",,..,,..,,..,,..,,..,,44.6,,42.3,,40.0,,39.6,,39.1,,38.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thailand,..,,..,,11.6,,12.2,,15.8,,15.8,,4.3,,4.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,23.4,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-3.1,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,2.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,..,,62.2,,..,,..,,..,,"19,277",,"19,004",,"18,898",,"18,913",,"18,928",,"18,942",,..,,..,,..,,..,,..,,37.7,,37.2,,37.0,,37.0,,37.0,,37.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,13.1,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The former Yugoslav Republic of Macedonia,..,,..,,20.2,,22.0,,20.3,,19.6,,5.5,,5.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.6,,..,,..,,..,,935,,958,,975,,980,,984,,989,,..,,..,,..,,..,,..,,36.8,,37.7,,38.3,,38.5,,39.0,,39.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,16.1,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Timor-Leste,..,,..,,..,,..,,0.6,,0.6,,0.2,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-20.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,910,,854,,798,,787,,776,,764,,..,,..,,..,,..,,..,,61.2,,57.4,,53.7,,52.9,,52.2,,51.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,..,,..,,0.8,,0.9,,0.8,,0.7,,0.3,,0.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.6,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-52.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,36.4,,..,,..,,..,,586,,486,,386,,366,,346,,327,,..,,..,,..,,..,,..,,10.8,,8.9,,7.1,,6.7,,6.4,,6.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tonga,..,,..,,4.1,,4.5,,4.9,,4.8,,1.7,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12.8,,5.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,9,,9,,9,,9,,9,,..,,..,,..,,..,,..,,12.5,,12.5,,12.5,,12.5,,12.5,,12.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,..,,..,,60.5,,69.1,,85.7,,92.8,,27.8,,37.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.4,,3.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-5.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,54.2,,..,,..,,..,,237,,234,,230,,229,,229,,228,,..,,..,,..,,..,,..,,46.2,,45.5,,44.8,,44.7,,44.6,,44.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,7.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tunisia,..,,..,,6.4,,7.6,,8.3,,8.3,,2.3,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.9,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,51.4,,..,,..,,..,,..,,..,,..,,..,,..,,1.9,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,11,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.6,,..,,..,,..,,740,,837,,924,,940,,957,,973,,..,,..,,..,,..,,..,,4.8,,5.4,,5.9,,6.1,,6.2,,6.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkey,..,,..,,10.3,,12.0,,12.5,,13.4,,3.9,,3.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,6.1,,3.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,14.6,,..,,..,,..,,..,,..,,..,,..,,..,,2.8,,2.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,60.4,,..,,..,,..,,"9,913",,"10,146",,"10,740",,"10,859",,"10,978",,"11,096",,..,,..,,..,,..,,..,,12.9,,13.2,,14.0,,14.1,,14.3,,14.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,18.8,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Turkmenistan,..,,..,,30.3,,29.0,,31.7,,33.0,,9.2,,9.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,3.8,,3.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,38.4,,..,,..,,..,,"4,127",,"4,127",,"4,127",,"4,127",,"4,127",,"4,127",,..,,..,,..,,..,,..,,8.8,,8.8,,8.8,,8.8,,8.8,,8.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,6.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuvalu,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,1,,1,,1,,1,,1,,..,,..,,..,,..,,..,,33.3,,33.3,,33.3,,33.3,,33.3,,33.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uganda,..,,..,,0.2,,0.2,,0.3,,0.3,,0.1,,0.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-33.4,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,49.8,,..,,..,,..,,"4,310",,"3,869",,"3,429",,"3,341",,"3,253",,"3,164",,..,,..,,..,,..,,..,,21.9,,19.6,,17.4,,16.9,,16.5,,16.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ukraine,..,,..,,30.9,,22.9,,25.6,,25.1,,6.9,,7.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.7,,2.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,58.2,,..,,..,,..,,"9,392",,"9,510",,"9,575",,"9,601",,"9,627",,"9,653",,..,,..,,..,,..,,..,,16.2,,16.4,,16.5,,16.6,,16.6,,16.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,2.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,..,,..,,111.0,,143.1,,121.2,,120.5,,30.9,,34.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-1.5,,-1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,28.7,,..,,..,,..,,..,,..,,..,,..,,..,,10.3,,10.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,40.7,,..,,..,,..,,278,,310,,312,,313,,314,,315,,..,,..,,..,,..,,..,,3.3,,3.7,,3.7,,3.7,,3.8,,3.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,"2,032.0",,..,,..,,..,,..,,..,,..,,0.0,,0.0,,6.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,..,,..,,35.7,,34.2,,33.7,,34.5,,8.8,,8.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.7,,-0.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,9.8,,..,,..,,..,,..,,..,,..,,..,,..,,6.1,,4.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,10,,..,,..,,..,,..,,..,,..,,..,,..,,..,,74.2,,..,,..,,..,,"2,702",,"2,793",,"2,845",,"2,852",,"2,859",,"2,867",,..,,..,,..,,..,,..,,11.2,,11.5,,11.8,,11.8,,11.8,,11.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,8.8,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States,..,,..,,70.8,,73.9,,71.4,,69.7,,19.1,,17.3,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.2,,-0.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,2.3,,..,,..,,..,,..,,..,,..,,..,,..,,9.0,,8.0,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,21,,..,,..,,..,,..,,..,,..,,..,,..,,..,,63.5,,..,,..,,..,,"298,265",,"300,195",,"302,108",,"302,491",,"302,874",,"303,256",,..,,..,,..,,..,,..,,32.6,,32.8,,33.0,,33.0,,33.1,,33.2,,..,,..,,..,,..,,..,,..,,..,,..,,..,,15.6,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,3.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uruguay,..,,..,,5.2,,5.9,,6.6,,7.6,,1.9,,2.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,-0.2,,0.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,79.8,,..,,..,,..,,..,,..,,..,,..,,..,,..,,5.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,12,,..,,..,,..,,..,,..,,..,,..,,..,,..,,59.1,,..,,..,,..,,"1,166",,"1,412",,"1,520",,"1,565",,"1,610",,"1,654",,..,,..,,..,,..,,..,,6.7,,8.1,,8.7,,8.9,,9.2,,9.5,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,8.1,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uzbekistan,..,,..,,16.1,,17.6,,15.5,,15.7,,4.3,,4.6,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,1.7,,1.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,42.3,,..,,..,,..,,"3,129",,"3,212",,"3,295",,"3,291",,"3,287",,"3,283",,..,,..,,..,,..,,..,,7.4,,7.6,,7.7,,7.7,,7.7,,7.7,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0.0,,0.0,,1.9,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,..,,0,,..,,..,,..,,..,,..,,..,,..,,..,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
